"period","sex","raceEthnicity","foreign","majorCauses","age","deaths","pop","ASDR","logASDR","ASDR.SD","coefOfVar"
"2017-2019","Female","White","Foreign-Born","All other causes","65-100",23332,4077655.041037768,473.2711463184124,6.159668472278517,0.4130469058372459,0.08727489707546038
"2017-2019","Female","White","Foreign-Born","Alzheimer's disease and dementia","65-100",28943,4077655.041037768,522.679725187686,6.258968896345354,0.29804609739374094,0.05702270109802275
"2017-2019","Female","White","Foreign-Born","COVID-19","65-100",0,4077655.041037768,0,NA,0,NA
"2017-2019","Female","White","Foreign-Born","Circulatory diseases","65-100",59827,4077655.041037768,1138.1146263064588,7.037128335717837,0.531416875637146,0.046692737563856945
"2017-2019","Female","White","Foreign-Born","Diabetes","65-100",3504,4077655.041037768,73.31797046925986,4.2948057421364005,0.1755166721018936,0.23939106739933932
"2017-2019","Female","White","Foreign-Born","External Causes","65-100",4665,4077655.041037768,95.05072862707884,4.554410734629189,0.18824441800477662,0.19804626510895362
"2017-2019","Female","White","Foreign-Born","Malignant Neoplasm","65-100",30753,4077655.041037768,685.5936755123629,6.530285142492426,0.576705556183879,0.08411768906019898
"2017-2019","Female","White","Foreign-Born","Respiratory diseases","65-100",15461,4077655.041037768,311.76100578510886,5.742236887177126,0.3340808926101116,0.10715929394979802
"2017-2019","Female","White","Foreign-Born","Total","65-100",166485,4077655.041037768,3299.7888782063683,8.1016137691069,0.9426234452848936,0.0285661743849887
"2017-2019","Female","White","US-Born","All other causes","65-100",384372,62364915.95896223,573.7737540807508,6.3522351619656705,0.11901775212231239,0.020742976003318942
"2017-2019","Female","White","US-Born","Alzheimer's disease and dementia","65-100",417793,62364915.95896223,587.2406259465997,6.375434660783435,0.08775235915446641,0.01494316899703838
"2017-2019","Female","White","US-Born","COVID-19","65-100",0,62364915.95896223,0,NA,0,NA
"2017-2019","Female","White","US-Born","Circulatory diseases","65-100",819526,62364915.95896223,1185.754189274521,7.078134297768123,0.14609094866321606,0.012320508751699943
"2017-2019","Female","White","US-Born","Diabetes","65-100",52249,62364915.95896223,79.67447265062613,4.377949241525627,0.048684625396608706,0.06110442124931481
"2017-2019","Female","White","US-Born","External Causes","65-100",75660,62364915.95896223,111.92383130531243,4.717818562306263,0.05148741198818197,0.04600218862034089
"2017-2019","Female","White","US-Born","Malignant Neoplasm","65-100",456564,62364915.95896223,708.777609714331,6.563541809788445,0.14873310972376433,0.020984453753231627
"2017-2019","Female","White","US-Born","Respiratory diseases","65-100",297981,62364915.95896223,447.04567269484255,6.102660765445053,0.10785433975060983,0.024126022538245702
