"period","sex","raceEthnicity","foreign","majorCauses","age","deaths","pop","ASDR","logASDR","ASDR.SD","coefOfVar"
"2017-2019","Female","White","Foreign-Born","All other causes","25-65",4289,9543095.382046327,42.64446500848249,3.7528974884580624,0.33915091320620877,0.7952987876357404
"2017-2019","Female","White","Foreign-Born","Alzheimer's disease and dementia","25-65",167,9543095.382046327,1.650209587794161,0.5009023027513152,0.06660012975573747,4.035858853829714
"2017-2019","Female","White","Foreign-Born","COVID-19","25-65",0,9543095.382046327,0,NA,0,NA
"2017-2019","Female","White","Foreign-Born","Circulatory diseases","25-65",3859,9543095.382046327,38.02927137673371,3.6383561625858087,0.31821906022414853,0.8367740130273302
"2017-2019","Female","White","Foreign-Born","Diabetes","25-65",562,9543095.382046327,5.548756309313637,1.713573814234826,0.12211554348492087,2.2007732305696837
"2017-2019","Female","White","Foreign-Born","External Causes","25-65",3272,9543095.382046327,33.63917706884681,3.515691371929391,0.308171935969857,0.9161102108388214
"2017-2019","Female","White","Foreign-Born","Malignant Neoplasm","25-65",8496,9543095.382046327,83.71249073252629,4.42738819853019,0.47016304936559156,0.5616402585222695
"2017-2019","Female","White","Foreign-Born","Respiratory diseases","25-65",1395,9543095.382046327,13.783603459016966,2.623479730603528,0.19232701107246292,1.3953318640101064
"2017-2019","Female","White","Foreign-Born","Total","25-65",22040,9543095.382046327,219.00797354271407,5.389108138024555,0.7560853231601449,0.34523187029657726
"2017-2019","Female","White","US-Born","All other causes","25-65",105487,148946542.61795366,65.75618111877976,4.1859536760503655,0.10565413363311249,0.1606755925230244
"2017-2019","Female","White","US-Born","Alzheimer's disease and dementia","25-65",4181,148946542.61795366,2.4305475015626077,0.8881165412591557,0.019620274879221647,0.8072368413539625
"2017-2019","Female","White","US-Born","COVID-19","25-65",0,148946542.61795366,0,NA,0,NA
"2017-2019","Female","White","US-Born","Circulatory diseases","25-65",92897,148946542.61795366,56.57904665362046,4.035638716201959,0.0967313851763056,0.17096679936744005
"2017-2019","Female","White","US-Born","Diabetes","25-65",14692,148946542.61795366,8.985455222818295,2.195607183706508,0.038801693449177777,0.43182779822486933
"2017-2019","Female","White","US-Born","External Causes","25-65",84226,148946542.61795366,56.674521040425944,4.0373247453728975,0.10211202188035369,0.18017271254487915
"2017-2019","Female","White","US-Born","Malignant Neoplasm","25-65",154799,148946542.61795366,93.6783610015557,4.539867223422871,0.1235384493137187,0.13187511821611303
"2017-2019","Female","White","US-Born","Respiratory diseases","25-65",43939,148946542.61795366,26.305218701064227,3.26976734919741,0.06547797843589159,0.24891630508756257
"2017-2019","Female","White","US-Born","Total","25-65",500221,148946542.61795366,310.409331239827,5.73789184984119,0.22492585927288147,0.07246104953562117
"2017-2019","Female","White","Total","All other causes","25-65",109776,158489638,64.34629497194531,4.164279356191017,0.10130902258936236,0.15744344353242504
"2017-2019","Female","White","Total","Alzheimer's disease and dementia","25-65",4348,158489638,2.3866256507416628,0.8698805067133357,0.018888932846292457,0.7914493351909869
"2017-2019","Female","White","Total","COVID-19","25-65",0,158489638,0,NA,0,NA
"2017-2019","Female","White","Total","Circulatory diseases","25-65",96756,158489638,55.46160193612684,4.0156909243021595,0.09287215536933903,0.1674530704617883
"2017-2019","Female","White","Total","Diabetes","25-65",15254,158489638,8.776763462366988,2.1721077135336015,0.037178663584094905,0.42360334471254246
"2017-2019","Female","White","Total","External Causes","25-65",87498,158489638,55.23664559233425,4.011626602445566,0.09763495580106141,0.17675757597889183
"2017-2019","Female","White","Total","Malignant Neoplasm","25-65",163295,158489638,93.089659325538,4.533563107497017,0.11947936227265142,0.1283486943000056
"2017-2019","Female","White","Total","Respiratory diseases","25-65",45334,158489638,25.578512102620827,3.2417526280250635,0.0626624194667364,0.24498070573978334
"2017-2019","Female","White","Total","Total","25-65",522261,158489638,304.87610304167384,5.71990547454241,0.2161479771367158,0.07089698896707897
"2017-2019","Female","Hispanic","Foreign-Born","All other causes","25-65",5807,22438984.222495325,28.121171572672303,3.3365227293986224,0.19565341922144253,0.6957513086388454
"2017-2019","Female","Hispanic","Foreign-Born","Alzheimer's disease and dementia","25-65",165,22438984.222495325,0.8850277920850599,-0.12213623098134331,0.036243598667785225,4.095193280020958
"2017-2019","Female","Hispanic","Foreign-Born","COVID-19","25-65",0,22438984.222495325,0,NA,0,NA
"2017-2019","Female","Hispanic","Foreign-Born","Circulatory diseases","25-65",5073,22438984.222495325,25.200822873914525,3.2268766477110233,0.1872018183947088,0.7428401022114329
"2017-2019","Female","Hispanic","Foreign-Born","Diabetes","25-65",1324,22438984.222495325,6.750996445190207,1.909690115499116,0.09810551408899497,1.4532004998890335
"2017-2019","Female","Hispanic","Foreign-Born","External Causes","25-65",2961,22438984.222495325,13.489285423213317,2.6018956979651633,0.13187308246751378,0.9776135527577855
"2017-2019","Female","Hispanic","Foreign-Born","Malignant Neoplasm","25-65",12898,22438984.222495325,61.920373340432604,4.125849258663046,0.28826820069218856,0.46554661275589554
"2017-2019","Female","Hispanic","Foreign-Born","Respiratory diseases","25-65",1158,22438984.222495325,5.83343574540277,1.7636061484620082,0.09078639825790033,1.5563109327028675
"2017-2019","Female","Hispanic","Foreign-Born","Total","25-65",29386,22438984.222495325,142.20111319291078,4.957242345699334,0.43511607655281426,0.3059864067045196
"2017-2019","Female","Hispanic","US-Born","All other causes","25-65",10297,21488238.777504675,63.05160786090867,4.143953563448322,0.33414192549935173,0.5299498884096121
"2017-2019","Female","Hispanic","US-Born","Alzheimer's disease and dementia","25-65",261,21488238.777504675,1.9170236535602507,0.6507738028294558,0.06244181454028188,3.2572271304173226
"2017-2019","Female","Hispanic","US-Born","COVID-19","25-65",0,21488238.777504675,0,NA,0,NA
"2017-2019","Female","Hispanic","US-Born","Circulatory diseases","25-65",7273,21488238.777504675,47.83105595281283,3.86767513465555,0.2983873726595025,0.6238360552898373
"2017-2019","Female","Hispanic","US-Born","Diabetes","25-65",2230,21488238.777504675,14.67722804401848,2.68629718001728,0.1657928182818601,1.129592166754041
