"period","sex","raceEthnicity","foreign","majorCauses","age","deaths","pop","ASDR","logASDR","ASDR.SD","coefOfVar"
"2017-2019","Female","White","Foreign-Born","All other causes","25-100",27621,13620750.423084095,145.143770083133,4.977724769006178,0.5344446541507624,0.3682174259664415
"2017-2019","Female","White","Foreign-Born","Alzheimer disease and other dementias","25-100",29110,13620750.423084095,125.66752107884415,4.833639697792683,0.3053965511513193,0.24301947593898401
"2017-2019","Female","White","Foreign-Born","COVID-19","25-100",0,13620750.423084095,0,NA,0,NA
"2017-2019","Female","White","Foreign-Born","Circulatory diseases","25-100",63686,13620750.423084095,299.875527767761,5.703367481117496,0.6194088036199406,0.20655530253860613
"2017-2019","Female","White","Foreign-Born","Diabetes","25-100",4066,13620750.423084095,21.67942739481072,3.076363764544179,0.2138183999246586,0.9862732812575995
"2017-2019","Female","White","Foreign-Born","External Causes","25-100",7937,13620750.423084095,48.25657453044183,3.876532078200762,0.36111757507682546,0.7483282404328567
"2017-2019","Female","White","Foreign-Born","Malignant Neoplasm","25-100",39249,13620750.423084095,226.97440611077806,5.424837262714154,0.7440716306392207,0.32782182070169885
"2017-2019","Female","White","Foreign-Born","Respiratory diseases","25-100",16856,13620750.423084095,84.70925203579893,4.43922482870077,0.38548634475845733,0.4550699427679366
"2017-2019","Female","White","Foreign-Born","Total","25-100",188525,13620750.423084095,952.3064790015677,6.858886914706803,1.2083890000736284,0.12689076749121214
"2017-2019","Female","White","US-Born","All other causes","25-100",489859,211311458.57691592,186.67634341786368,5.229376333456008,0.1591477969499163,0.08525332885574773
"2017-2019","Female","White","US-Born","Alzheimer disease and other dementias","25-100",421974,211311458.57691592,141.6291370058817,4.9532119299074635,0.08991902870644611,0.06348907478177451
"2017-2019","Female","White","US-Born","COVID-19","25-100",0,211311458.57691592,0,NA,0,NA
"2017-2019","Female","White","US-Born","Circulatory diseases","25-100",912423,211311458.57691592,325.3493585027177,5.784899554224642,0.17521280249869078,0.05385374149960932
"2017-2019","Female","White","US-Born","Diabetes","25-100",66941,211311458.57691592,25.811108340083898,3.250804955082218,0.062255635604594725,0.24119706439693464
"2017-2019","Female","White","US-Born","External Causes","25-100",159886,211311458.57691592,69.8251597578835,4.24599439980404,0.11435829049847944,0.1637780577874983
"2017-2019","Female","White","US-Born","Malignant Neoplasm","25-100",611363,211311458.57691592,240.08648730068495,5.480999222179423,0.1933475792114801,0.08053247035487303
"2017-2019","Female","White","US-Born","Respiratory diseases","25-100",341920,211311458.57691592,126.45136854010997,4.839857795834079,0.12617418223666466,0.0997807961221413
"2017-2019","Female","White","US-Born","Total","25-100",3004366,211311458.57691592,1115.8289628652253,7.017352872114544,0.34079016348163066,0.03054143375222577
"2017-2019","Female","White","Total","All other causes","25-100",517480,224932209,184.0469523801149,5.215190901036018,0.1528820020901948,0.08306684794999775
"2017-2019","Female","White","Total","Alzheimer disease and other dementias","25-100",451084,224932209,140.52397876016764,4.945378141543942,0.08634302303609379,0.06144362250335615
"2017-2019","Female","White","Total","COVID-19","25-100",0,224932209,0,NA,0,NA
"2017-2019","Female","White","Total","Circulatory diseases","25-100",976109,224932209,323.84630506544465,5.78026903616271,0.16873635995035938,0.0521038397879081
"2017-2019","Female","White","Total","Diabetes","25-100",71007,224932209,25.569693103800983,3.2414077870332187,0.05988096606528015,0.23418726936686907
"2017-2019","Female","White","Total","External Causes","25-100",167823,224932209,68.45290642453111,4.226146011381334,0.10953164635868988,0.1600102202810743
"2017-2019","Female","White","Total","Malignant Neoplasm","25-100",650612,224932209,239.29147832598315,5.477682383440226,0.18705727091558208,0.07817130481377059
"2017-2019","Female","White","Total","Respiratory diseases","25-100",358776,224932209,123.80080143407471,4.8186738338488855,0.12076247885181618,0.09754579732355248
"2017-2019","Female","White","Total","Total","25-100",3192891,224932209,1105.5321154941173,7.0080820505260295,0.32831284541747385,0.029697268927437216
"2017-2019","Female","Hispanic","Foreign-Born","All other causes","25-100",21593,26626859.79432275,111.24832617739335,4.7117648753367,0.4284667218063268,0.3851444210703055
"2017-2019","Female","Hispanic","Foreign-Born","Alzheimer disease and other dementias","25-100",13961,26626859.79432275,79.41300550094222,4.374662152080872,0.24608833182731776,0.3098841685627904
"2017-2019","Female","Hispanic","Foreign-Born","COVID-19","25-100",0,26626859.79432275,0,NA,0,NA
"2017-2019","Female","Hispanic","Foreign-Born","Circulatory diseases","25-100",40000,26626859.79432275,218.2206638444971,5.385506770310572,0.5153583399893593,0.23616385859617814
"2017-2019","Female","Hispanic","Foreign-Born","Diabetes","25-100",6171,26626859.79432275,32.70743858685356,3.487602531753912,0.24315947825011144,0.7434378500915295
"2017-2019","Female","Hispanic","Foreign-Born","External Causes","25-100",5160,26626859.79432275,22.79569346310279,3.1265716349224713,0.19374283376411872,0.8499098045765168
"2017-2019","Female","Hispanic","Foreign-Born","Malignant Neoplasm","25-100",32905,26626859.79432275,160.9118579665533,5.0808567490239565,0.5494661582211589,0.3414702714671093
"2017-2019","Female","Hispanic","Foreign-Born","Respiratory diseases","25-100",9629,26626859.79432275,52.68535223607818,3.9643374707286423,0.27006418820008865,0.512598239810481
"2017-2019","Female","Hispanic","Foreign-Born","Total","25-100",129419,26626859.79432275,677.9823377754205,6.519121237122345,0.9316440756329817,0.13741421033029708
"2017-2019","Female","Hispanic","US-Born","All other causes","25-100",26370,24793178.20567725,162.9623037743639,5.093518908872894,0.6032469605278297,0.37017576860172513
"2017-2019","Female","Hispanic","US-Born","Alzheimer disease and other dementias","25-100",15130,24793178.20567725,105.76765251173519,4.661244730820575,0.345968353127912,0.3271022329719627
"2017-2019","Female","Hispanic","US-Born","COVID-19","25-100",0,24793178.20567725,0,NA,0,NA
