majorCauses,raceEthnicity,foreign,cases,prop
Circulatory diseases,Black,Foreign-Born,40519,28.358167171741915
Circulatory diseases,Asian,Foreign-Born,100215,26.473455219799813
Circulatory diseases,White,Foreign-Born,198602,25.987746887651888
Circulatory diseases,Hispanic,Foreign-Born,153545,25.43487515716134
Circulatory diseases,Black,US-Born,502463,25.06116121772795
Circulatory diseases,Asian,US-Born,23881,24.201917425056248
Circulatory diseases,White,US-Born,3092153,23.459636589365225
Circulatory diseases,Hispanic,US-Born,157487,22.1313940415964
Malignant Neoplasm,Asian,Foreign-Born,50643,13.378188820998075
Malignant Neoplasm,Black,Foreign-Born,18571,12.9973474801061
Respiratory diseases,White,US-Born,1711249,12.98295383634466
Respiratory diseases,White,Foreign-Born,92216,12.066777106936016
Respiratory diseases,Asian,Foreign-Born,45168,11.931876718733903
Malignant Neoplasm,Hispanic,Foreign-Born,71886,11.907984210151422
Malignant Neoplasm,White,Foreign-Born,88162,11.536297424543388
Respiratory diseases,Hispanic,Foreign-Born,68975,11.425774293954237
Malignant Neoplasm,White,US-Born,1456313,11.048797954165993
Respiratory diseases,Black,US-Born,212690,10.608260467733063
Respiratory diseases,Asian,US-Born,10444,10.584348460587389
Malignant Neoplasm,Black,US-Born,212130,10.580329554846088
Respiratory diseases,Hispanic,US-Born,74845,10.517847105115234
Respiratory diseases,Black,Foreign-Born,14543,10.178257735349902
Malignant Neoplasm,Asian,US-Born,9763,9.894197052921742
Malignant Neoplasm,Hispanic,US-Born,64502,9.064362001124227
External Causes,Hispanic,US-Born,59774,8.399943788645306
Alzheimer's disease and dementia,White,Foreign-Born,62020,8.115527849529059
Alzheimer's disease and dementia,White,US-Born,930874,7.062382020064584
External Causes,Asian,US-Born,6677,6.766726797332631
Diabetes,Black,Foreign-Born,9484,6.637598594654367
Alzheimer's disease and dementia,Asian,US-Born,6443,6.529582260777915
Diabetes,Hispanic,US-Born,45711,6.4236930860033725
Diabetes,Hispanic,Foreign-Born,38741,6.41748346389389
Heart failure,White,US-Born,843517,6.399619383954024
Heart failure,White,Foreign-Born,48489,6.344950498158893
Diabetes,Asian,Foreign-Born,23952,6.327318259987479
External Causes,Black,US-Born,122168,6.093328152814015
Diabetes,Black,US-Born,114509,5.711323042454489
Alzheimer's disease and dementia,Hispanic,Foreign-Born,32870,5.444946734936945
Alzheimer's disease and dementia,Asian,Foreign-Born,20558,5.430736839880702
External Causes,Hispanic,Foreign-Born,32777,5.429541196563075
Heart failure,Black,US-Born,106965,5.335053744562824
Diabetes,Asian,US-Born,5233,5.303322050388147
Heart failure,Asian,US-Born,5054,5.121916614305694
External Causes,White,US-Born,656883,4.9836591079846295
Alzheimer's disease and dementia,Hispanic,US-Born,35397,4.974283305227656
Alzheimer's disease and dementia,Black,Foreign-Born,6851,4.794832135383496
External Causes,Black,Foreign-Born,6750,4.7241449297677125
Heart failure,Hispanic,Foreign-Born,28142,4.66174904212338
Heart failure,Asian,Foreign-Born,17614,4.6530303870833105
Alzheimer's disease and dementia,Black,US-Born,91744,4.575881556968837
Heart failure,Hispanic,US-Born,32273,4.535272625070264
Renal failure,Black,US-Born,86380,4.30834331281575
Heart failure,Black,Foreign-Born,6132,4.291623216197868
External Causes,White,Foreign-Born,31895,4.173569183500956
Diabetes,White,US-Born,549449,4.168575702557452
External Causes,Asian,Foreign-Born,15476,4.088242209066726
Diabetes,White,Foreign-Born,30861,4.038266768208905
Renal failure,Asian,Foreign-Born,15050,3.975707240013842
Renal failure,Hispanic,Foreign-Born,23099,3.8263712999789625
Renal failure,Hispanic,US-Born,26491,3.722737492973581
Renal failure,Black,Foreign-Born,5100,3.569353946935604
Renal failure,Asian,US-Born,3516,3.5632486774631613
Renal failure,White,US-Born,408044,3.09576012327687
Renal failure,White,Foreign-Born,23071,3.0189187845289407
