sex,raceEthnicity,foreign,period,majorCauses,age,pop,deaths,ASDR
Female,White,Foreign-Born,2017-2019,Total,25-34,2064335.853189708,963,46.649385976221886
Female,White,Foreign-Born,2017-2019,Total,35-44,2414829.3062190963,1938,80.25411961867943
Female,White,Foreign-Born,2017-2019,Total,45-54,2564306.8629959957,5407,210.85619970157384
Female,White,Foreign-Born,2017-2019,Total,55-64,2499623.3596415273,13732,549.3627648754778
Female,White,Foreign-Born,2017-2019,Total,65-74,1950550.4073089699,23961,1228.4224960408594
Female,White,Foreign-Born,2017-2019,Total,75-84,1388285.8623064863,45234,3258.262669681633
Female,White,Foreign-Born,2017-2019,Total,85+,738818.7714223121,97290,13168.317287432401
Female,White,Foreign-Born,2020,Total,25-34,661351.4301308384,337,50.95626691747376
Female,White,Foreign-Born,2020,Total,35-44,802909.9158385649,741,92.28930735350232
Female,White,Foreign-Born,2020,Total,45-54,813213.6061274521,1867,229.58297622327186
Female,White,Foreign-Born,2020,Total,55-64,827941.1834425082,5199,627.9431563463247
Female,White,Foreign-Born,2020,Total,65-74,669195.8974994442,9628,1438.7416354428558
Female,White,Foreign-Born,2020,Total,75-84,480439.8149282083,17989,3744.277522604591
Female,White,Foreign-Born,2020,Total,85+,244788.6837368585,37683,15394.093969028505
Female,White,US-Born,2017-2019,Total,25-34,35810231.14681029,32302,90.20327142701848
Female,White,US-Born,2017-2019,Total,35-44,32952861.693780903,51962,157.685849814393
Female,White,US-Born,2017-2019,Total,45-54,36901838.137004,119951,325.0542684477197
Female,White,US-Born,2017-2019,Total,55-64,43281611.64035847,296006,683.9070653366928
Female,White,US-Born,2017-2019,Total,65-74,34492267.592691034,501427,1453.7374170965006
Female,White,US-Born,2017-2019,Total,75-84,18572821.137693513,737115,3968.7831726545096
Female,White,US-Born,2017-2019,Total,85+,9299827.228577688,1265603,13608.887228688449
Female,White,US-Born,2020,Total,25-34,11894581.56986916,11938,100.36502696522612
Female,White,US-Born,2020,Total,35-44,11201472.084161432,20204,180.36915012775765
Female,White,US-Born,2020,Total,45-54,11601967.393872548,41370,356.57745445698384
