age,sex,raceEthnicity,2017-2019_F_Total,2020_F_Total,2017-2019_N_Total,2020_N_Total,2017-2019_T_Total,2020_T_Total,2017-2019_D_Total,2020_D_Total,2020_F_Non-COVID,2020_F_COVID-19,2020_N_Non-COVID,2020_N_COVID-19,2020_T_Non-COVID,2020_T_COVID-19,2020_D_Non-COVID,2020_D_COVID-19
25+,Female,White,951.3538540035865,1101.18566904618,1114.795765846253,1230.9381716171513,1104.5044555151333,1223.012490587071,-163.4419118426665,-129.75250257097127,992.2565506281031,108.92911841807694,1134.298674102545,96.63949751460652,1125.5629783029597,97.44951228411097,-142.04212347444184,12.289620903470421
25+,Female,Hispanic,677.3031643926807,952.1289274356005,844.1402703482751,1052.6572532680775,750.3028464935043,996.5537623304227,-166.83710595559432,-100.52832583247698,735.5845426076319,216.54438482796868,888.1294824439535,164.527770824124,802.786436333575,193.76732599684766,-152.54493983632165,52.016614003844694
25+,Female,Black,785.3972153922771,1107.7781196623841,1298.7507396080352,1596.9227295692879,1239.804071103802,1538.2477554737743,-513.3535242157582,-489.1446099069037,905.440102103139,202.33801755924512,1398.008894625345,198.91383494394307,1339.3118696215877,198.9358858521866,-492.56879252220597,3.424182615302044
25+,Female,Asian,559.316488508774,670.908384372227,669.8137940624205,749.0731888875466,575.8673913611,682.20377618483,-110.49730555364647,-78.16480451531959,583.137214634102,87.77116973812511,702.1027516203094,46.970437267237394,600.4022614516579,81.80151473317213,-118.96553698620744,40.800732470887716
25+,Female,Total,746.0840064720907,935.0898632279452,1122.3817925925534,1266.0808156669718,1060.95682851168,1209.5496951456441,-376.2977861204628,-330.9909524390266,786.4635562367296,148.6263069912157,1152.5703486217742,113.5104670451975,1090.4212458614106,119.12844928423353,-366.1067923850446,35.1158399460182
25-64,Female,White,218.96858679893097,247.02574990694268,310.3601880743296,343.31229963603096,304.8275738848761,337.4707036493897,-91.39160127539861,-96.28654972908828,231.32526440221295,15.700485504729748,328.69320050734234,14.619099128688603,322.7984266233202,14.672277026069509,-97.36793610512939,1.081386376041145
25-64,Female,Hispanic,142.17656782637266,214.58622669162077,244.02169683478735,314.7118399547226,186.239340102893,258.59313521485467,-101.84512900841469,-100.12561326310185,156.24070363006513,58.345523061555646,265.61400713216995,49.09783282255267,204.10887554171848,54.48425967313623,-109.37330350210482,9.247690239002978
25-64,Female,Black,217.80950135339498,297.7031687151674,474.9728611305113,585.5214975485912,440.5737414495972,546.0035813051772,-257.16335977711634,-287.81832883342383,249.11493650049493,48.58823221467246,525.57844394276,59.94305360583121,487.66410059080624,58.339480714371014,-276.4635074422651,-11.354821391158751
25-64,Female,Asian,112.60436080734631,133.4994102974473,183.00837176105506,212.8135552963736,122.40955439494151,144.90815384556296,-70.40401095370875,-79.31414499892631,118.22664486483231,15.272765432614994,199.063148924194,13.75040637217959,129.63221068311896,15.275943162443978,-80.83650405936169,1.522359060435404
25-64,Female,Total,156.58512703618422,205.28759860366364,327.46523877635065,376.3654505777147,294.26446513592015,341.8899744162814,-170.88011174016643,-171.07785197405104,168.7915619927889,36.496036610874775,351.78479672965847,24.58065384805617,315.0904564533576,26.799517962923773,-182.99323473686957,11.915382762818606
65+,Female,White,3298.4543092386393,3838.5415728686207,3692.798349107055,4075.5435746681305,3667.256680282159,4060.9389540508632,-394.3440398684156,-237.0020017995098,3430.839422618497,407.70215025012385,3716.050463064707,359.4931116034244,3698.210366316758,362.7285877341053,-285.21104044621006,48.20903864669947
65+,Female,Hispanic,2392.2419195140264,3315.7575887256367,2767.361067053515,3417.5765014899293,2557.9767196777025,3361.521766751641,-375.1191475394885,-101.81891276429269,2592.227827352869,723.5297613727673,2883.1264067702114,534.4500947197182,2721.3891696145615,640.1325971370794,-290.89857941734226,189.07966665304912
65+,Female,Black,2604.3652389997496,3703.8533976368444,3938.7402644749714,4838.195319829799,3801.1252152726634,4718.127058322534,-1334.3750254752217,-1134.3419221929544,3008.788112976937,695.0652846599072,4193.917004264884,644.2783155649151,4068.616998903355,649.5100594191794,-1185.1288912879468,50.78696909499206
65+,Female,Asian,1990.910330215664,2393.161553817605,2229.896006878353,2467.6430270412006,2029.0794414005568,2404.093683393873,-238.985676662689,-74.48147322359546,2073.052234516829,320.1093193007766,2314.211205133732,153.43182190746768,2109.0953632219644,294.9983201719088,-241.1589706169034,166.6774973933089
65+,Female,Total,2635.2715014165187,3273.912480549343,3669.878429788738,4117.382489717554,3518.002424162141,3990.1688811183417,-1034.606928372219,-843.4700091682107,2765.9384088770757,507.97407167226737,3718.8755674109843,398.50692230656824,3575.150704883803,415.018176234539,-952.9371585339086,109.46714936569913
